station_name,yelp_business_name,foursquare_business_name,yelp_rating,foursquare_rating,yelp_distance,foursquare_distance
Champs de Manoeuvre - Cartoucherie,Bustronome,Centre équestre la Cartoucherie,4.5,N/A,12010.403082622446,52
Champs de Manoeuvre - Cartoucherie,Bois de Vincennes,La Cartoucherie,4.3,N/A,1337.1132716541883,107
Champs de Manoeuvre - Cartoucherie,Bois de Vincennes,Théâtre du Soleil,4.3,N/A,1337.1132716541883,182
Champs de Manoeuvre - Cartoucherie,Bois de Vincennes,Parc Floral de Paris,4.3,N/A,1337.1132716541883,307
Champs de Manoeuvre - Cartoucherie,Bois de Vincennes,Aire de jeux du Parc Floral,4.3,N/A,1337.1132716541883,297
Champs de Manoeuvre - Cartoucherie,Bois de Vincennes,Centre équestre la Cartoucherie,4.3,N/A,1337.1132716541883,52
Champs de Manoeuvre - Cartoucherie,Parc Floral de Paris,La Cartoucherie,4.3,N/A,518.4300603204476,107
Champs de Manoeuvre - Cartoucherie,Parc Floral de Paris,Théâtre du Soleil,4.3,N/A,518.4300603204476,182
Champs de Manoeuvre - Cartoucherie,Parc Floral de Paris,Parc Floral de Paris,4.3,N/A,518.4300603204476,307
Champs de Manoeuvre - Cartoucherie,Parc Floral de Paris,Aire de jeux du Parc Floral,4.3,N/A,518.4300603204476,297
Champs de Manoeuvre - Cartoucherie,Parc Floral de Paris,Centre équestre la Cartoucherie,4.3,N/A,518.4300603204476,52
Champs de Manoeuvre - Cartoucherie,Château de Vincennes,La Cartoucherie,4.2,N/A,1222.8719670499497,107
Champs de Manoeuvre - Cartoucherie,Château de Vincennes,Théâtre du Soleil,4.2,N/A,1222.8719670499497,182
Champs de Manoeuvre - Cartoucherie,Château de Vincennes,Parc Floral de Paris,4.2,N/A,1222.8719670499497,307
Champs de Manoeuvre - Cartoucherie,Château de Vincennes,Aire de jeux du Parc Floral,4.2,N/A,1222.8719670499497,297
Champs de Manoeuvre - Cartoucherie,Château de Vincennes,Centre équestre la Cartoucherie,4.2,N/A,1222.8719670499497,52
Champs de Manoeuvre - Cartoucherie,Villa Capri,La Cartoucherie,4.3,N/A,1282.4705941707791,107
Champs de Manoeuvre - Cartoucherie,Villa Capri,Théâtre du Soleil,4.3,N/A,1282.4705941707791,182
Champs de Manoeuvre - Cartoucherie,Villa Capri,Parc Floral de Paris,4.3,N/A,1282.4705941707791,307
Champs de Manoeuvre - Cartoucherie,Villa Capri,Aire de jeux du Parc Floral,4.3,N/A,1282.4705941707791,297
Champs de Manoeuvre - Cartoucherie,Villa Capri,Centre équestre la Cartoucherie,4.3,N/A,1282.4705941707791,52
Belleville - Télégraphe,Le Jourdain,Resto Rigoletto,4.7,N/A,843.7059345027482,418
Belleville - Télégraphe,Le Jourdain,Franprix,4.7,N/A,843.7059345027482,267
Belleville - Télégraphe,Le Jourdain,Carrefour City,4.7,N/A,843.7059345027482,344
Belleville - Télégraphe,Le Jourdain,Benoît Castel,4.7,N/A,843.7059345027482,604
Belleville - Télégraphe,Le Jourdain,Au Métro des Lilas,4.7,N/A,843.7059345027482,506
Belleville - Télégraphe,Chéri-Chérie,Resto Rigoletto,4.4,N/A,474.8448975186174,418
Belleville - Télégraphe,Chéri-Chérie,Franprix,4.4,N/A,474.8448975186174,267
Belleville - Télégraphe,Chéri-Chérie,Carrefour City,4.4,N/A,474.8448975186174,344
Belleville - Télégraphe,Chéri-Chérie,Benoît Castel,4.4,N/A,474.8448975186174,604
Belleville - Télégraphe,Chéri-Chérie,Au Métro des Lilas,4.4,N/A,474.8448975186174,506
Belleville - Télégraphe,Bustronome,Resto Rigoletto,4.5,N/A,7724.20403221909,418
Belleville - Télégraphe,Bustronome,Franprix,4.5,N/A,7724.20403221909,267
Belleville - Télégraphe,Bustronome,Carrefour City,4.5,N/A,7724.20403221909,344
Belleville - Télégraphe,Bustronome,Benoît Castel,4.5,N/A,7724.20403221909,604
Belleville - Télégraphe,Bustronome,Au Métro des Lilas,4.5,N/A,7724.20403221909,506
Belleville - Télégraphe,La Fine Mousse,Resto Rigoletto,4.3,N/A,1762.5349612813418,418
Belleville - Télégraphe,La Fine Mousse,Franprix,4.3,N/A,1762.5349612813418,267
Belleville - Télégraphe,La Fine Mousse,Carrefour City,4.3,N/A,1762.5349612813418,344
Belleville - Télégraphe,La Fine Mousse,Benoît Castel,4.3,N/A,1762.5349612813418,604
Belleville - Télégraphe,La Fine Mousse,Au Métro des Lilas,4.3,N/A,1762.5349612813418,506
Belleville - Télégraphe,La Maroquinerie,Resto Rigoletto,4.3,N/A,974.3052940930023,418
Belleville - Télégraphe,La Maroquinerie,Franprix,4.3,N/A,974.3052940930023,267
Belleville - Télégraphe,La Maroquinerie,Carrefour City,4.3,N/A,974.3052940930023,344
Belleville - Télégraphe,La Maroquinerie,Benoît Castel,4.3,N/A,974.3052940930023,604
Belleville - Télégraphe,La Maroquinerie,Au Métro des Lilas,4.3,N/A,974.3052940930023,506
Abbeville - Faubourg Poissonnière,Brasserie Bellanger,Billili,4.8,N/A,201.1343827694785,174
Abbeville - Faubourg Poissonnière,Brasserie Bellanger,Brasserie Bellanger,4.8,N/A,201.1343827694785,202
Abbeville - Faubourg Poissonnière,Brasserie Bellanger,Mussubi,4.8,N/A,201.1343827694785,256
Abbeville - Faubourg Poissonnière,Brasserie Bellanger,Ma Kitchen,4.8,N/A,201.1343827694785,296
Abbeville - Faubourg Poissonnière,Brasserie Bellanger,La Binouze,4.8,N/A,201.1343827694785,323
Abbeville - Faubourg Poissonnière,La Maison Bleue,Billili,4.4,N/A,168.50919205285476,174
Abbeville - Faubourg Poissonnière,La Maison Bleue,Brasserie Bellanger,4.4,N/A,168.50919205285476,202
Abbeville - Faubourg Poissonnière,La Maison Bleue,Mussubi,4.4,N/A,168.50919205285476,256
Abbeville - Faubourg Poissonnière,La Maison Bleue,Ma Kitchen,4.4,N/A,168.50919205285476,296
Abbeville - Faubourg Poissonnière,La Maison Bleue,La Binouze,4.4,N/A,168.50919205285476,323
Abbeville - Faubourg Poissonnière,Terminus Nord,Billili,3.7,N/A,245.04275941493887,174
Abbeville - Faubourg Poissonnière,Terminus Nord,Brasserie Bellanger,3.7,N/A,245.04275941493887,202
Abbeville - Faubourg Poissonnière,Terminus Nord,Mussubi,3.7,N/A,245.04275941493887,256
Abbeville - Faubourg Poissonnière,Terminus Nord,Ma Kitchen,3.7,N/A,245.04275941493887,296
Abbeville - Faubourg Poissonnière,Terminus Nord,La Binouze,3.7,N/A,245.04275941493887,323
Abbeville - Faubourg Poissonnière,Pedzouille,Billili,4.7,N/A,346.5610050472424,174
Abbeville - Faubourg Poissonnière,Pedzouille,Brasserie Bellanger,4.7,N/A,346.5610050472424,202
Abbeville - Faubourg Poissonnière,Pedzouille,Mussubi,4.7,N/A,346.5610050472424,256
Abbeville - Faubourg Poissonnière,Pedzouille,Ma Kitchen,4.7,N/A,346.5610050472424,296
